date,direction,amount
2024-12-10 14:50:28,token1to0,134034839027098176
2024-12-10 14:40:22,token1to0,133878597946646880
2024-12-10 14:38:42,token1to0,178343940353639648
2024-12-10 14:25:56,token0to1,10005526704744556
2024-12-10 14:21:38,token1to0,293481052129571881
2024-12-10 14:21:34,token1to0,146708233999633223
2024-12-10 14:13:54,token1to0,153936372965840790
2024-12-10 14:13:12,token1to0,133057080964205152
2024-12-10 14:09:14,token0to1,17543102571851440
2024-12-10 14:08:54,token0to1,17822543424222820
2024-12-10 14:05:00,token0to1,17165286909492906
2024-12-10 14:04:37,token0to1,16779945937239916
2024-12-10 13:59:25,token1to0,133951157113328416
2024-12-10 13:59:07,token1to0,133783719218735664
2024-12-10 13:55:51,token0to1,4386354113698011
2024-12-10 13:55:23,token0to1,3124804762627538
2024-12-10 13:54:01,token0to1,10082225040149724
2024-12-10 13:47:39,token1to0,67575007083626070
2024-12-10 13:47:08,token1to0,140826394930453760
2024-12-10 13:46:13,token1to0,244896520533437933
2024-12-10 13:44:07,token1to0,133418840275341952
2024-12-10 13:44:01,token0to1,32418750000000000
2024-12-10 13:36:41,token0to1,10004900254662846
2024-12-10 13:32:21,token0to1,20316053923076412
2024-12-10 13:32:09,token0to1,12329829619392526
2024-12-10 13:31:57,token0to1,8851150524768503
2024-12-10 13:27:07,token0to1,10005896622154842
2024-12-10 13:27:07,token0to1,21851568477429228
2024-12-10 13:24:19,token1to0,228030719668207400
2024-12-10 13:21:29,token1to0,294515357734044493
2024-12-10 13:21:29,token1to0,134405298884902352
2024-12-10 13:19:25,token0to1,15568570069760970
2024-12-10 13:15:41,token0to1,10003403503497572
2024-12-10 13:14:49,token0to1,8639902513458487
2024-12-10 13:13:29,token0to1,16377702692222254
2024-12-10 13:10:20,token0to1,10934787660092124
2024-12-10 13:10:16,token0to1,17147143055907848
2024-12-10 13:07:34,token0to1,11109437317155555
2024-12-10 13:05:12,token0to1,8632870422302534
2024-12-10 13:04:48,token0to1,17920889289435616
